playerID,Name,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,HBP,SH
mantlmi01,Mickey Mantle,1953,127,461,105,136,24,3,21,92.0,79,0.0,0.0,0.0
kinerra01,Ralph Kiner,1953,41,148,27,40,6,1,7,29.0,25,0.0,2.0,0.0
dobyla01,Larry Doby,1953,149,513,92,135,18,5,29,102.0,96,0.0,6.0,2.0
willite01,Ted Williams,1953,37,91,17,37,6,0,13,34.0,19,0.0,0.0,0.0
lemonbo01,Bob Lemon,1953,51,112,12,26,9,1,2,17.0,7,0.0,0.0,6.0
musiast01,Stan Musial,1953,157,593,127,200,53,9,30,113.0,105,0.0,0.0,0.0
irvinmo01,Monte Irvin,1954,135,432,62,113,13,3,19,64.0,70,0.0,2.0,3.0
slaugen01,Enos Slaughter,1954,69,125,19,31,4,2,1,19.0,28,0.0,0.0,1.0
aaronha01,Hank Aaron,1954,122,468,58,131,27,6,13,69.0,28,0.0,3.0,6.0
foxne01,Nellie Fox,1954,155,631,111,201,24,8,2,47.0,51,0.0,5.0,15.0
kalinal01,Al Kaline,1954,138,504,42,139,18,3,4,43.0,22,0.0,0.0,7.0
killeha01,Harmon Killebrew,1954,9,13,1,4,1,0,0,3.0,2,0.0,0.0,0.0
snidedu01,Duke Snider,1954,149,584,120,199,39,10,40,130.0,84,0.0,4.0,1.0
reesepe01,Pee Wee Reese,1954,141,554,98,171,35,8,10,69.0,90,0.0,3.0,8.0
camparo01,Roy Campanella,1954,111,397,43,82,14,3,19,51.0,42,0.0,2.0,4.0
berrayo01,Yogi Berra,1954,151,584,88,179,28,6,22,125.0,56,0.0,4.0,1.0
lemonbo01,Bob Lemon,1954,40,98,11,21,4,1,2,10.0,6,0.0,0.0,8.0
kellge01,George Kell,1954,71,233,25,66,10,0,5,48.0,18,0.0,0.0,1.0
mayswi01,Willie Mays,1954,151,565,119,195,33,13,41,110.0,66,0.0,2.0,0.0
kellge01,George Kell,1954,26,93,15,24,3,0,0,10.0,15,0.0,0.0,1.0
robinja02,Jackie Robinson,1954,124,386,62,120,22,4,15,59.0,63,0.0,7.0,5.0
matheed01,Eddie Mathews,1954,138,476,96,138,21,4,40,103.0,113,0.0,2.0,3.0
dobyla01,Larry Doby,1954,153,577,94,157,18,4,32,126.0,85,0.0,3.0,1.0
musiast01,Stan Musial,1954,153,591,120,195,41,9,35,126.0,103,0.0,4.0,0.0
rizzuph01,Phil Rizzuto,1954,127,307,47,60,11,0,2,15.0,41,0.0,1.0,18.0
