playerID,Name,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,HBP
delahed01,Ed Delahanty,1888,74,290,40,66,12,2,1,31.0,12,0.0,1.0
duffyhu01,Hugh Duffy,1888,71,298,60,84,10,4,7,41.0,9,0.0,1.0
becklja01,Jake Beckley,1888,71,283,35,97,15,3,0,27.0,7,0.0,2.0
ewingbu01,Buck Ewing,1888,103,415,83,127,18,15,6,58.0,24,0.0,3.0
connoro01,Roger Connor,1888,134,481,98,140,15,17,14,71.0,73,0.0,4.0
ansonca01,Cap Anson,1888,134,515,101,177,20,12,12,84.0,47,0.0,1.0
orourji01,Jim O'Rourke,1888,107,409,50,112,16,6,4,50.0,24,0.0,3.0
hamilbi01,Billy Hamilton,1888,35,129,21,34,4,4,0,11.0,4,0.0,4.0
radboch01,Old Hoss Radbourn,1888,24,79,6,17,1,0,0,6.0,3,0.0,2.0
wardjo01,John Ward,1888,122,510,70,128,14,5,2,49.0,9,0.0,1.0
keefeti01,Tim Keefe,1888,51,181,10,23,3,0,2,8.0,4,0.0,0.0
galvipu01,Pud Galvin,1888,50,175,6,25,1,1,1,3.0,1,0.0,0.0
mcphebi01,Bid McPhee,1888,111,458,88,110,12,10,4,51.0,43,0.0,5.0
broutda01,Dan Brouthers,1888,129,522,118,160,33,11,9,66.0,68,0.0,12.0
clarkjo01,John Clarkson,1888,55,205,20,40,9,1,1,17.0,7,0.0,0.0
kellyki01,King Kelly,1888,107,440,85,140,22,11,9,71.0,31,0.0,4.0
welchmi01,Mickey Welch,1888,47,169,16,32,5,0,2,10.0,1,0.0,1.0
mccarto01,Tommy McCarthy,1888,131,511,107,140,20,3,1,68.0,38,0.0,3.0
whitede01,Deacon White,1888,125,527,75,157,22,5,4,71.0,21,0.0,9.0
mcphebi01,Bid McPhee,1889,135,540,109,145,25,7,5,57.0,60,0.0,4.0
orourji01,Jim O'Rourke,1889,128,502,89,161,36,7,3,81.0,40,0.0,1.0
broutda01,Dan Brouthers,1889,126,485,105,181,26,9,7,118.0,66,0.0,14.0
duffyhu01,Hugh Duffy,1889,136,584,144,182,21,7,12,89.0,46,0.0,2.0
kellyki01,King Kelly,1889,125,507,120,149,41,5,9,78.0,65,0.0,2.0
welchmi01,Mickey Welch,1889,45,156,20,30,5,1,0,12.0,5,0.0,0.0
keefeti01,Tim Keefe,1889,47,149,17,23,5,2,0,8.0,8,0.0,0.0
ansonca01,Cap Anson,1889,134,518,100,177,32,7,7,117.0,86,0.0,5.0
clarkjo01,John Clarkson,1889,73,262,36,54,9,3,2,23.0,11,0.0,0.0
delahed01,Ed Delahanty,1889,56,246,37,72,13,3,0,27.0,14,0.0,1.0
wardjo01,John Ward,1889,114,479,87,143,13,4,1,67.0,27,0.0,2.0
connoro01,Roger Connor,1889,131,496,117,157,32,17,13,130.0,93,0.0,2.0
ewingbu01,Buck Ewing,1889,99,407,91,133,23,13,4,87.0,37,0.0,0.0
rusieam01,Amos Rusie,1889,33,103,15,18,3,1,0,4.0,2,0.0,1.0
hamilbi01,Billy Hamilton,1889,137,534,144,161,17,12,3,77.0,87,0.0,14.0
mccarto01,Tommy McCarthy,1889,140,604,136,176,24,7,2,63.0,46,0.0,6.0
whitede01,Deacon White,1889,55,225,35,57,10,1,0,26.0,16,0.0,4.0
galvipu01,Pud Galvin,1889,41,150,15,28,7,2,0,16.0,3,0.0,0.0
becklja01,Jake Beckley,1889,123,522,91,157,24,10,9,97.0,29,0.0,6.0
radboch01,Old Hoss Radbourn,1889,35,122,17,23,1,0,1,13.0,9,0.0,2.0
thompsa01,Sam Thompson,1889,128,533,103,158,36,4,20,111.0,36,0.0,6.0
keefeti01,Tim Keefe,1890,30,92,18,10,1,0,2,11.0,13,0.0,2.0
ansonca01,Cap Anson,1890,139,504,95,157,14,5,7,107.0,113,0.0,6.0
mcphebi01,Bid McPhee,1890,132,528,125,135,16,22,3,39.0,82,0.0,6.0
radboch01,Old Hoss Radbourn,1890,45,154,20,39,6,0,0,16.0,9,0.0,1.0
hamilbi01,Billy Hamilton,1890,123,496,133,161,13,9,2,49.0,83,0.0,9.0
youngcy01,Cy Young,1890,17,65,6,8,2,0,0,4.0,0,0.0,0.0
nichoki01,Kid Nichols,1890,49,174,18,43,5,1,0,23.0,11,0.0,1.0
orourji01,Jim O'Rourke,1890,111,478,112,172,37,5,9,115.0,33,0.0,8.0
rusieam01,Amos Rusie,1890,73,284,31,79,13,6,0,28.0,7,0.0,1.0
becklja01,Jake Beckley,1890,124,529,110,171,38,22,9,123.0,42,0.0,6.0
kellyki01,King Kelly,1890,90,342,83,111,18,6,4,66.0,52,0.0,2.0
galvipu01,Pud Galvin,1890,26,97,8,20,2,1,0,12.0,6,0.0,0.0
thompsa01,Sam Thompson,1890,132,549,116,172,41,9,4,102.0,42,0.0,8.0
duffyhu01,Hugh Duffy,1890,137,596,161,191,36,16,7,82.0,59,0.0,2.0
connoro01,Roger Connor,1890,123,484,133,169,24,15,14,103.0,88,0.0,1.0
broutda01,Dan Brouthers,1890,126,475,123,159,38,10,2,102.0,99,0.0,18.0
clarkjo01,John Clarkson,1890,45,173,18,43,6,3,2,26.0,8,0.0,1.0
davisge01,George Davis,1890,136,526,98,139,22,9,6,73.0,53,0.0,4.0
ewingbu01,Buck Ewing,1890,83,352,98,119,19,15,8,72.0,39,0.0,1.0
burkeje01,Jesse Burkett,1890,101,401,67,124,23,13,4,60.0,33,0.0,3.0
wardjo01,John Ward,1890,128,561,134,188,15,12,4,60.0,51,0.0,2.0
mccarto01,Tommy McCarthy,1890,133,548,137,192,28,9,6,69.0,66,0.0,11.0
whitede01,Deacon White,1890,122,439,62,114,13,4,0,47.0,67,0.0,19.0
welchmi01,Mickey Welch,1890,37,123,15,22,4,0,0,10.0,9,0.0,1.0
delahed01,Ed Delahanty,1890,115,517,107,153,26,13,3,64.0,24,0.0,8.0
galvipu01,Pud Galvin,1891,33,109,11,18,0,0,0,7.0,3,0.0,2.0
mcphebi01,Bid McPhee,1891,138,562,107,144,14,16,6,38.0,74,0.0,2.0
connoro01,Roger Connor,1891,129,479,112,139,29,13,7,94.0,83,0.0,4.0
ansonca01,Cap Anson,1891,136,540,81,157,24,8,8,120.0,75,0.0,1.0
nichoki01,Kid Nichols,1891,52,183,21,36,6,0,0,27.0,12,0.0,1.0
youngcy01,Cy Young,1891,55,174,23,29,5,2,1,18.0,11,0.0,0.0
hamilbi01,Billy Hamilton,1891,133,527,141,179,23,7,2,60.0,102,0.0,7.0
griffcl01,Clark Griffith,1891,27,77,11,12,1,0,1,8.0,8,0.0,2.0
griffcl01,Clark Griffith,1891,10,23,6,4,1,1,1,3.0,6,0.0,1.0
kellyki01,King Kelly,1891,82,283,56,84,15,7,1,53.0,51,0.0,2.0
kellyki01,King Kelly,1891,4,15,2,4,0,0,1,4.0,0,0.0,0.0
kellyki01,King Kelly,1891,16,52,7,12,1,0,0,5.0,6,0.0,1.0
broutda01,Dan Brouthers,1891,130,486,117,170,26,19,5,109.0,87,0.0,24.0
becklja01,Jake Beckley,1891,133,554,94,162,20,19,4,73.0,44,0.0,8.0
thompsa01,Sam Thompson,1891,133,554,108,163,23,10,7,90.0,52,0.0,8.0
davisge01,George Davis,1891,136,570,115,165,35,12,3,89.0,53,0.0,4.0
kellejo01,Joe Kelley,1891,12,45,7,11,1,1,0,3.0,2,0.0,0.0
delahed01,Ed Delahanty,1891,128,543,92,132,19,9,5,86.0,33,0.0,8.0
duffyhu01,Hugh Duffy,1891,127,536,134,180,20,8,9,110.0,61,0.0,4.0
clarkjo01,John Clarkson,1891,55,187,28,42,7,4,0,26.0,18,0.0,0.0
ewingbu01,Buck Ewing,1891,14,49,8,17,2,1,0,18.0,5,0.0,0.0
jennihu01,Hughie Jennings,1891,88,351,51,103,10,8,1,58.0,17,0.0,9.0
radboch01,Old Hoss Radbourn,1891,29,96,11,17,2,2,0,10.0,4,0.0,2.0
burkeje01,Jesse Burkett,1891,40,167,29,45,7,4,0,13.0,23,0.0,0.0
welchmi01,Mickey Welch,1891,22,71,4,10,0,0,0,4.0,3,0.0,0.0
rusieam01,Amos Rusie,1891,62,220,30,54,5,2,0,15.0,3,0.0,0.0
mccarto01,Tommy McCarthy,1891,134,570,124,176,20,6,8,92.0,49,0.0,10.0
keefeti01,Tim Keefe,1891,8,21,2,2,0,0,0,1.0,3,0.0,0.0
keefeti01,Tim Keefe,1891,11,29,0,5,0,1,0,1.0,4,0.0,0.0
wardjo01,John Ward,1891,105,441,85,122,13,5,0,39.0,36,0.0,3.0
orourji01,Jim O'Rourke,1891,136,555,92,164,28,7,5,95.0,26,0.0,6.0
orourji01,Jim O'Rourke,1892,115,448,62,136,28,5,0,56.0,30,0.0,5.0
davisge01,George Davis,1892,144,597,95,144,27,12,5,82.0,58,0.0,3.0
connoro01,Roger Connor,1892,155,564,123,166,37,11,12,73.0,116,0.0,6.0
rusieam01,Amos Rusie,1892,70,256,19,55,7,4,1,26.0,3,0.0,0.0
youngcy01,Cy Young,1892,53,196,14,31,5,0,1,15.0,7,0.0,1.0
nichoki01,Kid Nichols,1892,57,197,21,40,6,2,2,21.0,16,0.0,0.0
mcphebi01,Bid McPhee,1892,144,573,111,157,19,12,4,60.0,84,0.0,7.0
ewingbu01,Buck Ewing,1892,105,393,58,122,10,15,8,76.0,38,0.0,0.0
burkeje01,Jesse Burkett,1892,145,608,119,167,15,14,6,66.0,67,0.0,1.0
broutda01,Dan Brouthers,1892,152,588,121,197,30,20,5,124.0,84,0.0,16.0
jennihu01,Hughie Jennings,1892,152,594,65,133,16,4,2,61.0,30,0.0,9.0
mccarto01,Tommy McCarthy,1892,152,603,119,146,19,5,4,63.0,93,0.0,4.0
ansonca01,Cap Anson,1892,146,559,62,152,25,9,1,74.0,67,0.0,4.0
thompsa01,Sam Thompson,1892,153,609,109,186,28,11,9,104.0,59,0.0,11.0
delahed01,Ed Delahanty,1892,123,477,79,146,30,21,6,91.0,31,0.0,9.0
galvipu01,Pud Galvin,1892,12,41,4,5,1,0,0,4.0,2,0.0,0.0
kellejo01,Joe Kelley,1892,10,33,3,7,0,0,0,4.0,4,0.0,1.0
becklja01,Jake Beckley,1892,151,614,102,145,21,19,10,96.0,31,0.0,14.0
duffyhu01,Hugh Duffy,1892,147,612,125,184,28,12,5,81.0,60,0.0,1.0
clarkjo01,John Clarkson,1892,16,57,7,13,3,0,1,13.0,3,0.0,0.0
welchmi01,Mickey Welch,1892,1,3,0,1,0,0,0,0.0,0,0.0,0.0
galvipu01,Pud Galvin,1892,12,39,2,2,0,0,0,1.0,1,0.0,0.0
clarkjo01,John Clarkson,1892,29,101,8,14,0,0,0,4.0,8,0.0,0.0
kellyki01,King Kelly,1892,78,281,40,53,7,0,2,41.0,39,0.0,0.0
keefeti01,Tim Keefe,1892,39,117,6,10,2,0,1,3.0,13,0.0,1.0
keelewi01,Willie Keeler,1892,14,53,7,17,3,0,0,6.0,3,0.0,1.0
wardjo01,John Ward,1892,148,614,109,163,13,3,1,47.0,82,0.0,3.0
kellejo01,Joe Kelley,1892,56,205,26,49,7,7,0,28.0,17,0.0,0.0
hamilbi01,Billy Hamilton,1892,139,554,132,183,21,7,3,53.0,81,0.0,8.0
becklja01,Jake Beckley,1893,131,542,108,164,32,19,5,106.0,54,0.0,20.0
rusieam01,Amos Rusie,1893,56,212,32,57,3,4,3,27.0,3,0.0,1.0
connoro01,Roger Connor,1893,135,511,111,156,25,8,11,105.0,91,0.0,3.0
orourji01,Jim O'Rourke,1893,129,547,75,157,22,5,2,95.0,49,0.0,8.0
ewingbu01,Buck Ewing,1893,116,500,117,172,28,15,6,122.0,41,0.0,0.0
youngcy01,Cy Young,1893,53,187,23,44,4,0,1,27.0,4,0.0,0.0
jennihu01,Hughie Jennings,1893,16,55,6,14,0,0,1,6.0,4,0.0,3.0
mcphebi01,Bid McPhee,1893,127,491,101,138,17,11,3,68.0,94,0.0,4.0
griffcl01,Clark Griffith,1893,4,11,1,2,0,0,0,2.0,0,0.0,0.0
duffyhu01,Hugh Duffy,1893,131,560,147,203,23,7,6,118.0,50,0.0,1.0
ansonca01,Cap Anson,1893,103,398,70,125,24,2,0,91.0,68,0.0,1.0
